,speaker,content,block,session,labels,labels_h
0,Legen,,0,3,0,statement
1,Saleh, [UI],0,3,0,statement
2,Oleg, Got it.,0,3,0,statement
3,Ashley, And don’t minimize…Don’t minimize it.,0,3,0,statement
4,Oleg, Mhm.,0,3,0,statement
5,Ashley, Don’t minimize it.,0,3,0,statement
6,Katya," Oh, oh, oh. I have no space. Hold on, just a second.",0,3,0,statement
7,Vika, Oopie.,0,3,0,statement
8,Will," What do you mean, you have no space?",0,3,4,question
9,Vika," And I can delete the previous recording, by the way, right?",0,3,4,question
10,Ashley, Continue recording you mean?,0,3,4,question
11,Vika," I mean, yeah, recording.",0,3,0,statement
12,Ashley, You continue.,0,3,0,statement
13,Vika," The previous, I mean.",0,3,0,statement
14,Ashley," Oh, you can get rid of it, yeah, if it’s on…Yeah.",0,3,0,statement
15,Ashley," But, I mean, it on your thing anyway.",0,3,0,statement
16,Katya, I’ll delete it now.,0,3,0,statement
17,Ashley," Okay. So, everyone starts their video…their audio recording too.",0,3,0,statement
18,Vika, Yep.,0,3,2,backchannel
19,Ashley," Okay… Okay. So, again, just like last time, you know, when I count to three, we all say “Mark”.",0,3,0,statement
20,Vika, Okay.,0,3,0,statement
21,Oleg, Do you have the recording?,0,3,4,question
22,Ashley, Yes. I have the recording.,0,3,0,statement
23,Oleg, Alright. We got it.,0,3,0,statement
24,Ashley," Okay. So, everybody has their cameras turned on and your audio device turned on.",0,3,0,statement
25,Ashley, Correct?,0,3,4,question
26,Will, Is your audio on?,0,3,4,question
27,Oleg, [SL] Correct.,0,3,0,statement
28,Ashley, Press the…,0,3,0,statement
29,Saleh," Which one, this?",0,3,4,question
30,Ashley, //Yeah.,0,3,1,disruption
31,Will, //Yeah. Yeah.,0,3,2,backchannel
32,Ashley," Okay. So, everybody should have a red dot. Yes. Okay. So…",0,3,0,statement
33,Saleh, Video also?,0,3,4,question
34,Ashley, Yes.,0,3,0,statement
35,Oleg, The sixteenth. The sixteenth.,0,3,0,statement
36,Ashley," And make sure it kind of…Yeah, make sure your face is fully into it. Yeah.",0,3,0,statement
37,Oleg, The sixteenth.,0,3,0,statement
38,Ashley," Okay. Okay. So, today is November 16th, 2021. The time is 15:27. It’s mission day twelve. On a count of three: one, two, three. //Mark.",0,3,0,statement
39,All, //Mark.,0,3,0,statement
40,Ashley," Okay. So, at this point we can begin to establish connection with Martian analysis group. So, we can write to them on the chat.",0,3,0,statement
41,Will, What’s happened?,0,3,4,question
42,Oleg, Are they already communicating with us or not? Or…,0,3,4,question
43,Will, I haven’t heard anything yet.,0,3,0,statement
44,Vika," [UI] …Oops, oops, oops. Please, forgive me.",0,3,0,statement
45,Saleh, What is it?,0,3,4,question
46,Ashley, He’s asking if we’ve received anything from the Chicago team.,0,3,0,statement
