,content,recipient,sender,sentOnBehalfOf,session,time
0,Hello! Please confirm when the crew is online and ready to begin.,eng3,vc3,vc3,1,0
1,"Hydrogeologist: Hello Geo!
",teamGeo,teamGeo,geo1,1,0
2,Session start,geo2,geo3,geo3,1,0
3,Hello! Please confirm when the crew is online and ready to begin. ,eng2,vc3,vc3,1,0
4,Hello! Please confirm when the crew is online and ready to begin. ,con1,vc3,vc3,1,0
5,Hello! Please confirm when the crew is online and ready to begin. ,con3,vc3,vc3,1,0
6,Hello! Please confirm when the crew is online and ready to begin. ,vc2,vc3,vc3,1,0
7,hi,vc3,eng1,eng1,1,0
8,Greetings,eng1,vc3,vc3,1,0
9,test,con2,eng1,eng1,1,0
10,Structural Geologist: Testing,teamConstr,teamGeo,geo2,1,0
11,Hi!,eng1,eng3,eng3,1,0
12,"Hi, baby",eng3,eng2,eng2,1,0
13,ok,geo1,vc2,vc2,1,0
14,"Hello
",vc3,vc1,vc1,1,0
15,"O, Yeah!
",eng2,eng3,eng3,1,0
16,"hello
",vc2,geo1,geo1,1,0
17,official start,geo2,geo3,geo3,1,0
18,Hello! ,eng3,eng1,eng1,1,0
19,Good afternoon!,vc1,vc3,vc3,1,0
20,"Hi!
",eng1,eng2,eng2,1,0
21,Hydrogeologist: hello!,teamvc,teamGeo,geo1,1,0
22,"Hello, we are ready!
",con2,con1,con1,1,0
23,Maintenance Specialist: Good afternoon!,teamGeo,teamvc,vc3,1,0
24,"Biochemical Engineer: Hi team, any preference on where we begin?",teamEng,teamEng,eng1,1,0
25,"hi
",con1,con2,con2,1,0
26,Hi!,con2,eng2,eng2,1,0
27,"Hi!
",con3,eng3,eng3,1,0
28,"Hi Justin, this is Harrison",geo2,vc3,vc3,1,0
29,"Sedimentologist: is someone logging in as the drilling specialist at Sirius?
",teamConstr,teamGeo,geo3,1,0
30,"Hello! 
",eng2,eng1,eng1,1,0
31,"Hi!
",geo1,eng3,eng3,1,0
32,Sydney; this is Harrison,eng1,vc3,vc3,1,0
33,"Operations Specialist: Hello, no, drilling person is in usa 
",teamGeo,teamConstr,con1,1,0
34,"Martian Meteorology Specialist: Hello. Any first picks for location?
",teamGeo,teamvc,vc1,1,0
35,Hi; this is Harrison,con2,vc3,vc3,1,0
36,hello fluid engineer. good afternoon,eng3,geo1,geo1,1,0
37,Hydrogeologist: hello engineering team!,teamEng,teamGeo,geo1,1,0
38,Mechanical Engineer: Good luck!,teamGeo,teamEng,eng2,1,0
39,"Hydrogeologist: 44, 36
",teamGeo,teamGeo,geo1,1,0
40,"Hydrogeologist: 23, 49",teamGeo,teamGeo,geo1,1,0
41,"Biochemical Engineer: We are currently looking at 23, 49",teamEng,teamEng,eng1,1,0
42,Biochemical Engineer: How would this work for you? ,teamEng,teamEng,eng1,1,0
43,"Fluid Engineer: 39,24?",teamGeo,teamEng,eng3,1,0
44,Structural Geologist: The amount of available water there is fairly low,teamEng,teamGeo,geo2,1,0
45,"Sedimentologist: hmm the water available looks pretty low and the water loss is 1 for 39,24",teamEng,teamGeo,geo3,1,0
46,"Structural Geologist: Can you check 23, 49 for us?

",teamEng,teamGeo,geo2,1,0
47,"We have 30 minutes remaining
",vc2,geo3,geo3,1,0
48,"Drilling Specialist: FYI, we are looking at co-ordinates 23,49 and 44,36 based on geology teams recommendations",teamGeo,teamConstr,con2,1,0
49,Mechanical Engineer: i try,teamGeo,teamEng,eng2,1,0
50,"Does 23, 49 look like a good spot with the information you have?",con3,geo2,geo2,1,0
51,"Hydrogeologist: 2nd Usable Water Flow, Most Liked by Maintenance + BioChem (23, 49)
",teamGeo,teamGeo,geo1,1,0
52,"Maintenance Specialist: Hello; 23, 49 looks good to us so far. Do you have any good coordinates?",teamvc,teamvc,vc3,1,0
53,"Maintenance Specialist: Hello; 23, 49 looks good to us so far. Do you have any good coordinates?
",teamConstr,teamvc,vc3,1,0
54,"Hydrogeologist: We are looking at (23, 49) , (44, 36)
 ",teamvc,teamGeo,geo1,1,0
55,"Hi, could you give me your values for 23,49",con3,con2,con2,1,0
56,"Hi, could you give me your values for 23,49",con1,con2,con2,1,0
57,"Drilling Specialist: Hi guys, could you send me your values for co-ordinates 23,49",teamConstr,teamConstr,con2,1,0
58,Do you have any coordinate reccomendations?,con1,geo2,geo2,1,0
59,"Sedimentologist: 44, 36 still looks like the best, though I'd like to find something with less water loss",teamGeo,teamGeo,geo3,1,0
60,"Operations Specialist: Hello, what about 39,23? 
",teamvc,teamConstr,con1,1,0
61,Maintenance Specialist: Unusable :(,teamConstr,teamvc,vc3,1,0
62,Maintenance Specialist: Population reached is very low,teamConstr,teamvc,vc3,1,0
63,"Drilling Specialist: My values for 39, 23 are: 0.5, 1500, Present, Present, Not Present",teamConstr,teamConstr,con2,1,0
64,Drilling Specialist: Could you share your values too? Thanks,teamConstr,teamConstr,con2,1,0
