,speaker,content,session,BC_Trans_Preds
0,Nastya, Ninety and slash or?,1903,disruption
1,Ryan to Zheny,And then just your number. So [UI],1903,statement
2,Natash,No…,1903,floor-grabber
3,Zheny,[UI],1903,disruption
4,Ali,You have a password.,1903,statement
5,Nasty,What password?,1903,question
6,Rya,"Sirius capital “S,” lower case the rest in “Sirius” and then one nine at [@ sign]",1903,floor-grabber
7,Nasty,"Ah, the “at sign.”",1903,statement
8,Rya,Mhm.,1903,backchannel
9,Rya,At your number. Which is three and six.,1903,statement
10,Nasty,No…,1903,floor-grabber
11,Dash,You don’t get very many attempts to log in. Before [SL] it shuts down.,1903,statement
12,Natasha to Rya,Can you do it?,1903,question
13,Zheny,"Oh, was that possible?",1903,question
14,Dash,How?,1903,question
15,Zheny,We get several tries.,1903,statement
16,Dash,//[UI],1903,disruption
17,Ali,//[UI]… //I tried.,1903,statement
18,Zheny,//[UI],1903,statement
19,Natash,//[UI],1903,disruption
20,Zheny,"Well, it’s still not going to make it.",1903,statement
21,Nastya to Ali,[UI],1903,disruption
22,Alik to Nasty,"//Yes, I don’t remember what.",1903,statement
23,Natasha to Rya,"//Oh, thank you.",1903,statement
24,Rya,"//So, crew dash two. Capital “S”…",1903,statement
25,Nasty,"//Well what, did you find it? …No?",1903,question
26,Ali,So crew dash number and then what?,1903,question
27,Rya,Capital “S” – Sirius.,1903,statement
28,Dash,[UI],1903,disruption
29,Rya,One nine.,1903,statement
30,Ali,Yes.,1903,statement
31,Rya,At.,1903,statement
32,Ali,Mhm.,1903,backchannel
33,Rya,[UI],1903,disruption
34,Ali,That’s it?,1903,question
35,Rya,Five.,1903,statement
36,Nasty,Letters all upper or //lower case?,1903,question
37,Rya,//Lower case.,1903,statement
38,Natash,Lower case and upper case.,1903,statement
39,Ali,Lower case.,1903,statement
40,Zheny,What do you need?,1903,question
41,Natash,A small spoon… And I didn’t get a cup. Thank you.,1903,statement
42,Ali,"So, let’s turn on the recorder and begin the process.",1903,statement
43,Dash,"Are we going to watch the whole video again [UI]? …The video again? Yes, we’re going to rewatch it?",1903,question
44,Ali,Yes.,1903,statement
