Unnamed: 0,speaker,content,block,session
1,Ryan to Zheny,And then just your number. So [UI],0,1903
3,Zheny,[UI],0,1903
16,Dash,//[UI],0,1903
17,Ali,//[UI]… //I tried.,0,1903
18,Zheny,//[UI],0,1903
19,Natash,//[UI],0,1903
21,Nastya to Ali,[UI],0,1903
28,Dash,[UI],0,1903
33,Rya,[UI],0,1903
43,Dash,"Are we going to watch the whole video again [UI]? …The video again? Yes, we’re going to rewatch it?",0,1903
66,Zheny,We saw this film? //[UI],0,1903
67,Ali,[UI],0,1903
68,Zheny,[UI],0,1903
74,Nasty,Messages //[UI],0,1903
75,Dash,[UI]…Things are going.,0,1903
77,Ali,[UI]… [UI]?,0,1903
80,Rya,May I ask if you could brag one of those binders [UI],0,1903
82,Rya,"Yes, we do. [UI]",0,1903
83,Zheny,[UI],0,1903
106,Ali,//[UI],0,1903
108,Ali,[UI] Anastasia.,0,1903
140,Ryan to Zheny,[UI],0,1903
151,Natash,//[UI],0,1903
158,Ali,"So the water will be very dirty, it’s difficult to work there, and there are lots of craters… So, it’s not a great place. //[UI]",0,1903
171,Nasty,//[UI],0,1903
186,Natash,"Yes, watts. Torque is forty on ninety thousand and [UI]",1,1903
191,Dash,Do I understand correctly the higher [UI] the better? … [UI]?,1,1903
194,Ali,[UI],1,1903
195,Rya,[UI],1,1903
198,Nasty,"No, at the first [UI]",1,1903
226,Nasty,"You’ll show your integrity, what you write to a child about [UI].",1,1903
228,Nasty,[UI],1,1903
235,Dash,//[UI],1,1903
242,Nasty,[UI],1,1903
243,Zheny,"Okay, I typed something in here. //[UI]",1,1903
244,Rya,//[UI],1,1903
248,Rya,[UI],1,1903
249,Natash,//[UI],1,1903
250,Ali,//[UI],1,1903
257,Ali,"Yes, [UI]",1,1903
265,Rya,//[UI],1,1903
267,Dash,//[UI],1,1903
268,Rya,//[UI],1,1903
269,Alik to Nasty,//[UI],1,1903
272,Dash,//[UI],1,1903
276,Dash,//[UI],1,1903
278,Nastya to Ali,[UI],1,1903
282,Ali,"Ah, yeah… [UI]",1,1903
284,Nasty,And so… these two here need to sign off. Because I can’t see them. [UI],1,1903
286,Zheny,[UI],1,1903
289,Dash,"Yes. //I asked you: [SL] Pipe restrictions – the more the better? You said: Yes. I thought I did that, and it turns out I didn’t. The more, the [UI]",1,1903
290,Natash,[UI],1,1903
292,Nasty,Yes? //[UI],1,1903
293,Rya,[UI],1,1903
295,Natash,//[UI],1,1903
298,Nasty,I can see you entering there [UI] A.,1,1903
302,Dash,[UI],1,1903
309,Nasty,It’s good. I mean we have not much. It’s nine thousand – not minus like// last time. //[UI]population.,1,1903
312,Rya,//But we have [UI]?,1,1903
313,Dash,//[UI],1,1903
315,Rya,//[UI],1,1903
318,Ryan to Nasty,//[UI],1,1903
321,Dash,//[UI],1,1903
326,Dash,"//Right now. So, I reloaded everything and //[UI]",1,1903
332,Zheny,"No, I’m not answering… They already know [UI]",1,1903
347,Natash,"//[UI]…ah, [SL] CBC?",1,1903
349,Natash,Yes… [UI],1,1903
354,Natash,"Yes. Torque… So, here we also have [UI] since they also placed checkmarks, entering more won’t work.",1,1903
356,Rya,"//Eghteen… [UI] [SL] no, no, no… pipe materials.//CBC",1,1903
359,Dash,"Five fifty… but, [UI] //[SL] eighty thousand.",1,1903
361,Nasty,They’re probably afraid [UI],1,1903
362,Dash,[UI],1,1903
365,Zheny,//[UI],1,1903
366,Ali,No answers about… She answered me.//[UI],1,1903
367,Natash,//[UI],1,1903
377,Ali,//[UI],1,1903
384,Nasty,[UI],1,1903
386,Ali,"She ate a walnut. She said it tasted like soap in her mouth. And she is like: “Yeah. It’s just a soap in your walnut” [UI]. //It’s fine, right? Like that.",1,1903
387,Rya,[UI],1,1903
392,Nasty,They just have [UI],1,1903
395,Ali,//[UI],1,1903
400,Alik to Dash,//[UI],1,1903
415,Dash,Maybe [UI],1,1903
416,Zheny,While [UI]… while [UI] . I wonder– should we play this again?,1,1903
422,Ali,[UI]? … no.,1,1903
423,Zheny,[UI],1,1903
438,Dash,We have such a cool chat with each other. How did I end up on a robot team anyway? [UI],1,1903
439,Ali,[UI],1,1903
442,Dash,To [UI] I also agree.,1,1903
455,Dash,[UI],1,1903
459,Nasty,//[UI],1,1903
490,Natash,[UI],1,1903
493,Nasty,You are [UI] and she is soapy walnut.,1,1903
494,Rya,[UI],1,1903
496,Zheny,"Well, how about this – Kimberly…//So, what area we doing?...// [UI] not answering, right?",1,1903
504,Zheny,"Well, I think this //[UI]",1,1903
511,Nasty,//[UI],1,1903
516,Zheny,[UI],1,1903
518,Zheny,//[UI],1,1903
520,Natash,[UI] [SL] humor.,1,1903
521,Rya,[UI],1,1903
522,Ali,[UI],1,1903
523,Nasty,No. [UI],1,1903
531,Natash,[UI]. “Ticking” is “ticking”?,1,1903
532,Zheny,"Yes, [UI]",1,1903
538,Dash,"Then they’ll say: “Guys, [UI]”",1,1903
539,Al,//[UI],1,1903
540,Dash,"Well, [UI]",1,1903
548,Natash,//[UI],1,1903
550,Ali,//[UI],1,1903
551,Ali,Aslan said we need to help [UI],1,1903
560,Ali,//Cake [UI],1,1903
565,Ali,//[UI],1,1903
566,Nasty,//Max is wishing us happy May first. He got his hair cut:what a stud. [UI],1,1903
571,Natash,[UI],1,1903
575,Dash,"Well, not cut it, but do [UI]",1,1903
576,Nasty,//[UI],1,1903
579,Dash,"//In [UI] it’s called shaving a lightning bolt around the neck and temples. But, here it will be on the chest.",1,1903
589,Zheny,"I’m telling you, they started washing them… with soap… or they didn’t rinse them… Now I will introduce myself for the presentation as [UI] a cosmonaut – Terrain specialist… or who am I again?",1,1903
596,Ali,"[UI], yeah?",1,1903
616,Natash,I lost something [UI],1,1903
620,Ali,[UI],1,1903
624,Natash,[SL] They send this message? We have twenty minutes… Maybe they’re sitting in [UI]?,1,1903
637,Ali,He is thankful he is next to Ryan.// [UI],1,1903
638,Rya,//[UI],1,1903
645,Nasty,[UI],1,1903
646,Dash,Write something to me. [UI],1,1903
649,Zheny,//[UI],1,1903
651,Natash,//[UI],1,1903
652,Dash,//[UI] a heart comes out.,1,1903
663,Nasty,"“I don’t know what to write, so I’ll write this crap. [UI]”",1,1903
669,Ali,"//I wrote in Russian, but I thought it was for [UI]",1,1903
672,Ali,"Yeah, that’s… anything //[UI]",1,1903
679,Nasty,Ok. My message to Dasha //also was [UI],1,1903
687,Natash,[UI] they don’t choose very well… I don’t know… all my work with the Martian groups.,1,1903
689,Natash,"Not as hard as I could be yet, but now I’m choosing “somewhat [UI]” //instead of “nice [UI]”",1,1903
690,Dash,"//Can we check with our [UI] about what role the Martian group plays besides placing checkmarks? Well, if robots are answering us, in our version, since it’s not always…",1,1903
696,Ali,"Well, we can ask. [To Ryan] She wants to [UI] if it’s actually people responding to us and they do not use a computer program. [UI] since delay has been implemented, the system really [UI] the communications.",1,1903
697,Rya,Yeah. [UI] people. But I don’t know.,1,1903
700,Zheny,"Well, [UI].",1,1903
702,Zheny,[UI] anybody.,1,1903
706,Zheny,Send a photo… //[UI],1,1903
707,Ali,//[UI],1,1903
710,Rya,Everybody [UI],1,1903
711,Ali,Yeah. Let everybody [UI].,1,1903
712,Natash,And why did geology ask that question [UI] ?,1,1903
719,Natash,//[UI],1,1903
720,Dash,"Yes, [UI]…",1,1903
722,Rya,[UI],1,1903
727,Ali,"//If it really bothers you, you can ask Igor [SL] Saveliev. But I doubt even he knows about this. [UI] knows more.",1,1903
728,Rya,You would just send it to [UI].,1,1903
732,Rya,"Igor mentioned that the chat would be [UI] delayed. So, I think last time we had [SL] their local [UI].",1,1903
735,Natash,"So, we need to do more probably… Don’t place checkmarks in the first ten minutes, but after fifteen or twenty minutes //so that later [UI]",1,1903
743,Ali,The very last one – Project Red Training [UI].,1,1903
750,Rya,[UI],1,1903
754,Ali,[UI],1,1903
755,Natash,//[UI],1,1903
756,Rya,"//[UI]… Oh, the baby…",1,1903
758,Rya,"Yeah, [UI]",1,1903
763,Dash,//[UI],1,1903
766,Dash,[UI]?,1,1903
771,Nasty,//[UI],2,1903
773,Nasty,[UI],2,1903
774,Ali,Project Red and we click//[UI],2,1903
778,Dash,[UI] I wanted to say!,2,1903
798,Dash,[UI],2,1903
799,Rya,[UI],2,1903
809,Natash,[UI],2,1903
815,Dash,[UI],2,1903
822,Zheny,[UI],2,1903
