,Utterance_ID,Dialogue_Act,Channel_ID,Speaker,Dialogue_ID,Utterance,Label,Idx
29,Bed002-c0_0062003_0062353,f,Bed002-c0,me011,Bed002,so ==,3,29
36,Bed002-c0_0081200_0081620,f,Bed002-c0,me011,Bed002,um ==,3,36
57,Bed002-c0_0341637_0341967,f,Bed002-c0,me011,Bed002,um ==,3,57
59,Bed002-c0_0344634_0345294,f,Bed002-c0,me011,Bed002,and uh ==,3,59
65,Bed002-c0_0374534_0374954,f,Bed002-c0,me011,Bed002,um ==,3,65
71,Bed002-c0_0386410_0386830,f,Bed002-c0,me011,Bed002,um .,3,71
84,Bed002-c2_0404743_0405653,f,Bed002-c2,me010,Bed002,um ==,3,84
101,Bed002-c0_0439088_0440168,f,Bed002-c0,me011,Bed002,um but uh ==,3,101
102,Bed002-c0_0441443_0442953,f,Bed002-c0,me011,Bed002,um it w- - uh ==,3,102
178,Bed002-c0_0627737_0628177,f,Bed002-c0,me011,Bed002,um ==,3,178
219,Bed002-c1_0708476_0709116,f,Bed002-c1,mn015,Bed002,um ==,3,219
223,Bed002-c1_0732358_0733818,f,Bed002-c1,mn015,Bed002,um and ==,3,223
260,Bed002-c1_0854050_0854340,f,Bed002-c1,mn015,Bed002,um ==,3,260
334,Bed002-c1_1095750_1096730,f,Bed002-c1,mn015,Bed002,uh uh uh ==,3,334
390,Bed002-c2_1305190_1306640,f,Bed002-c2,me010,Bed002,so uh ==,3,390
413,Bed002-c2_1373030_1374140,f,Bed002-c2,me010,Bed002,um ==,3,413
455,Bed002-c2_1498040_1499680,f,Bed002-c2,me010,Bed002,so uh ==,3,455
499,Bed002-c2_1598250_1598550,f,Bed002-c2,me010,Bed002,anyway ==,3,499
526,Bed002-c1_1664950_1665510,f,Bed002-c1,mn015,Bed002,um ==,3,526
542,Bed002-c1_1702490_1703120,f,Bed002-c1,mn015,Bed002,but um ==,3,542
577,Bed002-c1_1778930_1779240,f,Bed002-c1,mn015,Bed002,so ==,3,577
578,Bed002-c2_1780830_1781170,f,Bed002-c2,me010,Bed002,but ==,3,578
622,Bed002-c2_1916230_1917630,f,Bed002-c2,me010,Bed002,um ==,3,622
639,Bed002-c4_1966400_1967170,f,Bed002-c4,fe004,Bed002,but um ==,3,639
668,Bed002-c4_2004710_2005030,f,Bed002-c4,fe004,Bed002,so ==,3,668
724,Bed002-c2_2123210_2124140,f,Bed002-c2,me010,Bed002,and uh ==,3,724
726,Bed002-c2_2127120_2127970,f,Bed002-c2,me010,Bed002,the um ==,3,726
728,Bed002-c4_2138720_2139160,f,Bed002-c4,fe004,Bed002,um ==,3,728
737,Bed002-c1_2153200_2153640,f,Bed002-c1,mn015,Bed002,uh ==,3,737
762,Bed002-c1_2204180_2204660,f,Bed002-c1,mn015,Bed002,um ==,3,762
791,Bed002-c1_2289430_2291390,f,Bed002-c1,mn015,Bed002,um the uh ==,3,791
832,Bed002-c1_2402330_2402680,f,Bed002-c1,mn015,Bed002,so ==,3,832
892,Bed002-c1_2492920_2493520,f,Bed002-c1,mn015,Bed002,and - and ==,3,892
896,Bed002-c1_2501810_2502590,f,Bed002-c1,mn015,Bed002,but um ==,3,896
907,Bed002-c4_2529920_2530210,f,Bed002-c4,fe004,Bed002,so ==,3,907
939,Bed002-c2_2587190_2587490,f,Bed002-c2,me010,Bed002,and so ==,3,939
967,Bed002-c2_2659960_2661330,f,Bed002-c2,me010,Bed002,but uh ==,3,967
972,Bed002-c2_2684350_2685470,f,Bed002-c2,me010,Bed002,um ==,3,972
1006,Bed002-c2_2755390_2755960,f,Bed002-c2,me010,Bed002,well anyway ==,3,1006
1050,Bed002-c2_2908230_2909570,f,Bed002-c2,me010,Bed002,um ==,3,1050
1075,Bed002-c1_3006010_3007200,f,Bed002-c1,mn015,Bed002,and um ==,3,1075
1091,Bed002-c2_3053010_3054270,f,Bed002-c2,me010,Bed002,so uh ==,3,1091
1102,Bed002-c2_3065930_3066590,f,Bed002-c2,me010,Bed002,but uh ==,3,1102
1112,Bed002-c2_3094790_3095000,f,Bed002-c2,me010,Bed002,yeah .,3,1112
1122,Bed002-c2_3123370_3124750,f,Bed002-c2,me010,Bed002,an- - and um ==,3,1122
1139,Bed002-c2_3179370_3180660,f,Bed002-c2,me010,Bed002,um ==,3,1139
1177,Bed002-c2_3298460_3300180,f,Bed002-c2,me010,Bed002,um ==,3,1177
1178,Bed002-c2_3300180_3301170,f,Bed002-c2,me010,Bed002,it's uh ==,3,1178
1195,Bed002-c1_3359140_3359420,f,Bed002-c1,mn015,Bed002,yeah .,3,1195
1218,Bed002-c8_3406790_3406960,f,Bed002-c8,me003,Bed002,and ==,3,1218
1236,Bed002-c1_3468260_3468530,f,Bed002-c1,mn015,Bed002,okay .,3,1236
1295,Bed002-c1_3666670_3668480,f,Bed002-c1,mn015,Bed002,so um ==,3,1295
1451,Bed004-c4_0439755_0440195,f,Bed004-c4,mn015,Bed004,okay .,3,1451
1474,Bed004-c4_0554283_0554803,f,Bed004-c4,mn015,Bed004,um ==,3,1474
1476,Bed004-c4_0563210_0564830,f,Bed004-c4,mn015,Bed004,huh .,3,1476
1479,Bed004-c4_0575877_0576610,f,Bed004-c4,mn015,Bed004,d- - um ==,3,1479
1480,Bed004-c4_0582925_0583835,f,Bed004-c4,mn015,Bed004,and um ==,3,1480
1556,Bed004-c4_1009490_1011040,f,Bed004-c4,mn015,Bed004,so um ==,3,1556
1559,Bed004-c4_1018000_1018710,f,Bed004-c4,mn015,Bed004,but uh ==,3,1559
1566,Bed004-c4_1025350_1026110,f,Bed004-c4,mn015,Bed004,and uh ==,3,1566
1571,Bed004-c4_1028520_1028850,f,Bed004-c4,mn015,Bed004,okay .,3,1571
1572,Bed004-c2_1028560_1029000,f,Bed004-c2,me010,Bed004,uh ==,3,1572
1573,Bed004-c4_1030320_1031540,f,Bed004-c4,mn015,Bed004,and um ==,3,1573
1577,Bed004-c2_1052320_1052640,f,Bed004-c2,me010,Bed004,okay .,3,1577
1578,Bed004-c2_1052640_1052950,f,Bed004-c2,me010,Bed004,great .,3,1578
1587,Bed004-c2_1079510_1079750,f,Bed004-c2,me010,Bed004,right .,3,1587
1588,Bed004-c2_1080070_1080450,f,Bed004-c2,me010,Bed004,so anyway ==,3,1588
1590,Bed004-c2_1080760_1081460,f,Bed004-c2,me010,Bed004,um ==,3,1590
1595,Bed004-c4_1094020_1094050,f,Bed004-c4,mn015,Bed004,or ==,3,1595
1598,Bed004-c2_1097850_1099280,f,Bed004-c2,me010,Bed004,but - anyway ==,3,1598
1624,Bed004-c2_1182610_1183260,f,Bed004-c2,me010,Bed004,and so ==,3,1624
1627,Bed004-c4_1186700_1186960,f,Bed004-c4,mn015,Bed004,so ==,3,1627
1631,Bed004-c4_1204110_1204320,f,Bed004-c4,mn015,Bed004,so ==,3,1631
1635,Bed004-c2_1209170_1209430,f,Bed004-c2,me010,Bed004,uh ==,3,1635
1638,Bed004-c2_1215190_1215440,f,Bed004-c2,me010,Bed004,yeah .,3,1638
1649,Bed004-c2_1252340_1252590,f,Bed004-c2,me010,Bed004,so ==,3,1649
1695,Bed004-c1_1416220_1416550,f,Bed004-c1,me003,Bed004,so ==,3,1695
1705,Bed004-c2_1428090_1429160,f,Bed004-c2,me010,Bed004,so ==,3,1705
1751,Bed004-c2_1576890_1577150,f,Bed004-c2,me010,Bed004,ch-ch-ch-ch ==,3,1751
1760,Bed004-c2_1597820_1599540,f,Bed004-c2,me010,Bed004,but - but um ==,3,1760
1784,Bed004-c2_1643420_1644920,f,Bed004-c2,me010,Bed004,so um ==,3,1784
