"","session","time","sender_id","receiver_id","sender_gender","receiver_gender","dialog"
"1",2103,1,6,2,"Male","Female","statement"
"2",2103,2,2,6,"Female","Male","statement"
"3",2103,3,6,2,"Male","Female","backchannel"
"4",2103,4,2,4,"Female","Female","statement"
"5",2103,5,4,7,"Female","Female","statement"
"6",2103,6,7,3,"Female","Male","statement"
"7",2103,7,3,7,"Male","Female","question"
"8",2103,8,7,2,"Female","Female","question"
"9",2103,9,2,7,"Female","Female","question"
"10",2103,10,7,2,"Female","Female","statement"
"11",2103,11,2,7,"Female","Female","statement"
"12",2103,12,7,2,"Female","Female","statement"
"13",2103,13,2,2,"Female","Female","statement"
"14",2103,14,2,4,"Female","Female","statement"
"15",2103,15,4,2,"Female","Female","statement"
"16",2103,16,2,7,"Female","Female","statement"
"17",2103,17,7,2,"Female","Female","backchannel"
"18",2103,18,2,7,"Female","Female","statement"
"19",2103,19,7,6,"Female","Male","statement"
"20",2103,20,6,2,"Male","Female","question"
"21",2103,21,2,6,"Female","Male","statement"
"22",2103,22,6,2,"Male","Female","statement"
"23",2103,23,2,2,"Female","Female","statement"
"24",2103,24,2,3,"Female","Male","question"
"25",2103,25,3,6,"Male","Male","question"
"26",2103,26,6,2,"Male","Female","statement"
"27",2103,27,2,5,"Female","Male","floor-grabber"
"28",2103,28,5,2,"Male","Female","question"
"29",2103,29,2,3,"Female","Male","statement"
"30",2103,30,3,2,"Male","Female","statement"
"31",2103,31,2,5,"Female","Male","statement"
"32",2103,32,5,2,"Male","Female","question"
"33",2103,33,2,6,"Female","Male","statement"
"34",2103,34,6,2,"Male","Female","statement"
"35",2103,35,2,6,"Female","Male","statement"
"36",2103,36,6,2,"Male","Female","statement"
"37",2103,37,2,0,"Female","Unspecified","statement"
"38",2103,38,2,3,"Female","Male","statement"
"39",2103,39,3,6,"Male","Male","question"
"40",2103,40,6,3,"Male","Male","question"
"41",2103,41,3,7,"Male","Female","statement"
"42",2103,42,7,5,"Female","Male","statement"
"43",2103,43,5,2,"Male","Female","question"
"44",2103,44,2,7,"Female","Female","statement"
"45",2103,45,7,2,"Female","Female","floor-grabber"
"46",2103,46,2,7,"Female","Female","backchannel"
"47",2103,47,7,4,"Female","Female","statement"
"48",2103,48,4,7,"Female","Female","question"
"49",2103,49,7,5,"Female","Male","question"
"50",2103,50,5,7,"Male","Female","question"
"51",2103,51,7,4,"Female","Female","statement"
"52",2103,52,4,7,"Female","Female","question"
"53",2103,53,7,4,"Female","Female","statement"
"54",2103,54,4,7,"Female","Female","question"
"55",2103,55,7,4,"Female","Female","statement"
"56",2103,56,4,7,"Female","Female","question"
"57",2103,57,7,4,"Female","Female","backchannel"
"58",2103,58,4,6,"Female","Male","statement"
"59",2103,59,6,4,"Male","Female","statement"
"60",2103,60,4,4,"Female","Female","statement"
"61",2103,61,4,3,"Female","Male","floor-grabber"
"62",2103,62,3,7,"Male","Female","question"
"63",2103,63,7,4,"Female","Female","statement"
"64",2103,64,4,7,"Female","Female","statement"
"65",2103,65,7,4,"Female","Female","statement"
"66",2103,66,4,6,"Female","Male","floor-grabber"
"67",2103,67,6,7,"Male","Female","question"
"68",2103,68,7,4,"Female","Female","statement"
"69",2103,69,4,6,"Female","Male","statement"
"70",2103,70,6,7,"Male","Female","question"
"71",2103,71,7,7,"Female","Female","statement"
"72",2103,72,7,4,"Female","Female","statement"
"73",2103,73,4,6,"Female","Male","statement"
"74",2103,74,6,4,"Male","Female","statement"
"75",2103,75,4,7,"Female","Female","backchannel"
"76",2103,76,7,2,"Female","Female","statement"
"77",2103,77,2,6,"Female","Male","statement"
"78",2103,78,6,2,"Male","Female","statement"
"79",2103,79,2,4,"Female","Female","statement"
"80",2103,80,4,2,"Female","Female","statement"
"81",2103,81,2,7,"Female","Female","statement"
