,speaker,content,block,session,labels_h,labels
0,Nastya, Ninety and slash or?,0,1903,disruption,1
1,Ryan to Zheny,And then just your number. So [UI],0,1903,statement,0
2,Natash,No…,0,1903,floor-grabber,3
3,Zheny,[UI],0,1903,disruption,1
4,Ali,You have a password.,0,1903,statement,0
5,Nasty,What password?,0,1903,question,4
6,Rya,"Sirius capital “S,” lower case the rest in “Sirius” and then one nine at [@ sign]",0,1903,floor-grabber,3
7,Nasty,"Ah, the “at sign.”",0,1903,statement,0
8,Rya,Mhm.,0,1903,backchannel,2
9,Rya,At your number. Which is three and six.,0,1903,statement,0
10,Nasty,No…,0,1903,floor-grabber,3
11,Dash,You don’t get very many attempts to log in. Before [SL] it shuts down.,0,1903,statement,0
12,Natasha to Rya,Can you do it?,0,1903,question,4
13,Zheny,"Oh, was that possible?",0,1903,question,4
14,Dash,How?,0,1903,question,4
15,Zheny,We get several tries.,0,1903,statement,0
16,Dash,//[UI],0,1903,disruption,1
17,Ali,//[UI]… //I tried.,0,1903,disruption,1
18,Zheny,//[UI],0,1903,disruption,1
19,Natash,//[UI],0,1903,disruption,1
20,Zheny,"Well, it’s still not going to make it.",0,1903,statement,0
21,Nastya to Ali,[UI],0,1903,statement,0
22,Alik to Nasty,"//Yes, I don’t remember what.",0,1903,disruption,1
23,Natasha to Rya,"//Oh, thank you.",0,1903,statement,0
24,Rya,"//So, crew dash two. Capital “S”…",0,1903,disruption,1
25,Nasty,"//Well what, did you find it? …No?",0,1903,statement,0
26,Ali,So crew dash number and then what?,0,1903,statement,0
27,Rya,Capital “S” – Sirius.,0,1903,statement,0
28,Dash,[UI],0,1903,question,4
29,Rya,One nine.,0,1903,question,4
30,Ali,Yes.,0,1903,statement,0
31,Rya,At.,0,1903,disruption,1
32,Ali,Mhm.,0,1903,statement,0
33,Rya,[UI],0,1903,statement,0
34,Ali,That’s it?,0,1903,statement,0
35,Rya,Five.,0,1903,backchannel,2
36,Nasty,Letters all upper or //lower case?,0,1903,disruption,1
37,Rya,//Lower case.,0,1903,question,4
38,Natash,Lower case and upper case.,0,1903,statement,0
39,Ali,Lower case.,0,1903,question,4
40,Zheny,What do you need?,0,1903,statement,0
41,Natash,A small spoon… And I didn’t get a cup. Thank you.,0,1903,statement,0
42,Ali,"So, let’s turn on the recorder and begin the process.",0,1903,statement,0
43,Dash,"Are we going to watch the whole video again [UI]? …The video again? Yes, we’re going to rewatch it?",0,1903,question,4
44,Ali,Yes.,0,1903,statement,0
45,Zheny,"That’s fine, do nothing and watch a video.",0,1903,statement,0
46,Ali,"At first, yes. The video is //fourteen minutes…",0,1903,question,4
47,Zheny,//That’s pretty good.,0,1903,statement,0
48,Dash,The clock is ticking…,0,1903,statement,0
49,Zheny,The soldier sleeps away his service.,0,1903,floor-grabber,3
50,Natash,Ready to turn on.,0,1903,statement,0
51,Ali,Everyone ready?,0,1903,floor-grabber,3
52,Natash,Yes.,0,1903,statement,0
53,Ali,"One, two, three.",0,1903,statement,0
54,Zheny,Okay.,0,1903,question,4
55,Ali,"Now we need to open Project Red, Training, Training videos… Project Red, Training, Training videos…",0,1903,statement,0
56,Zheny,Training… Training videos,0,1903,statement,0
57,Ali,"Mhm… And play. Only one computer will have sound, and we’ll all// listen to it.",0,1903,statement,0
58,Natash,//Can we listen to it all with headphones?,0,1903,floor-grabber,3
59,Dash,"Yes, let’s do headphones.",0,1903,floor-grabber,3
60,Ali,"You want to use headphones? //Well, go ahead, as you like.",0,1903,statement,0
61,Natash,"//Well, of course…",0,1903,question,4
62,Dash,//Which video?,0,1903,statement,0
63,Ali,The first one: Design overview.,0,1903,question,4
64,Zheny,Excellent.,0,1903,question,4
65,Ali,We’ve seen this three times now.,0,1903,question,4
66,Zheny,We saw this film? //[UI],0,1903,statement,0
67,Ali,[UI],0,1903,statement,0
68,Zheny,[UI],0,1903,statement,0
69,-,37,0,1903,question,4
70,Ali,[SL] Project assignment,0,1903,question,4
71,Ali,That’s it. We watch our individual video next.,0,1903,disruption,1
72,Ali,"On the second video now, right?",0,1903,floor-grabber,3
73,Zheny,Mhm.,0,1903,floor-grabber,3
74,Nasty,Messages //[UI],0,1903,statement,0
75,Dash,[UI]…Things are going.,0,1903,question,4
76,Nasty,It happens. Oh.,0,1903,backchannel,2
77,Ali,[UI]… [UI]?,0,1903,disruption,1
78,Rya,No,0,1903,statement,0
79,Ali,"So, everyone ready?",0,1903,statement,0
80,Rya,May I ask if you could brag one of those binders [UI],0,1903,question,4
81,Ali,"That’s right, yeah… one second… We need them all. Don’t we?",0,1903,floor-grabber,3
82,Rya,"Yes, we do. [UI]",0,1903,question,4
83,Zheny,[UI],0,1903,disruption,1
84,Ali,And this is for Dasha.,0,1903,question,4
85,Zheny,Thanks.,0,1903,statement,0
86,Ali,This is me.,0,1903,disruption,1
87,Zheny,"Ah, meteorologist.  Meteorologist.",0,1903,statement,0
88,Ali,"This is you, Zhenya – terrain.",0,1903,statement,0
89,Zheny,Terrain – yes.,0,1903,statement,0
90,Ali,"This is Nastya… Mechanical, ah, this is you. Sorry.",0,1903,statement,0
91,Natash,I’m still on your crew.,0,1903,statement,0
92,Ali,"So, next we go to the folder where it says, “Crew Data.”",0,1903,statement,0
93,Zheny,"Crew Data. //So, we leave here again?",0,1903,statement,0
94,Ali,//Then Project Red… It’s on your desktop “Crew Data.”,0,1903,statement,0
95,Zheny,"Ah, so we just minimize this, right?",0,1903,statement,0
96,Ali,"Yes, you can just minimize. Crew Data, Project Red… MD forty-three.",0,1903,question,4
97,Nasty,"Wait, please.",0,1903,statement,0
98,Ali,MD forty-three.,0,1903,question,4
99,Zheny,"Oh, something happened here.",0,1903,statement,0
100,Ali,"//Yes, you can stop.",0,1903,statement,0
101,Natash,//Is that old?,0,1903,statement,0
102,Ali,"It’s new. It’s today. I mean, for today.",0,1903,statement,0
103,Ali,Now we listen to our friends. Yes… Oh! Maxwell is first.,0,1903,statement,0
104,Zheny,[SL] We’re family.,0,1903,question,4
105,Nasty,I’m already //overheating.,0,1903,statement,0
106,Ali,//[UI],0,1903,disruption,1
107,Natash,Sounds the same as last time.,0,1903,statement,0
108,Ali,[UI] Anastasia.,0,1903,statement,0
109,Nastya,Not happening.,0,1903,statement,0
110,Zheny,Something is delaying everything.,0,1903,disruption,1
111,Ali,That’s us.,0,1903,statement,0
112,Ali,Are we still listening? …They are still listening.,0,1903,statement,0
113,Ali,"She is still listening… Ryan, are you still listening?",0,1903,statement,0
114,Rya,No.,0,1903,statement,0
115,Ali,"Everyone ready? So, in the same exact folder we click on “Project Red Design.” Right where “Project Red Design” was. We go to the website in the folder… in the white folder everyone has a login like last time.",0,1903,statement,0
116,Dash,This really long password?,0,1903,statement,0
117,Ali,"Yes, everyone should just write that down in notepad.",0,1903,question,4
118,Dash,Or open the presentation and copy paste.,0,1903,statement,0
119,Ali,Yes.,0,1903,statement,0
120,Zheny,"So, this big one, right?",0,1903,question,4
